17:35:16 | INFO    | flynum.run.7_rep_real_s6 | run 7_rep_real_s6 started -> I:\2026.9.14\9.15果蝇识字\runs\7_rep_real_s6
17:35:16 | INFO    | flynum.run.7_rep_real_s6 | ==============================================================================
17:35:16 | INFO    | flynum.run.7_rep_real_s6 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=6 shuffle_seed=0
17:35:16 | INFO    | flynum.run.7_rep_real_s6 | ==============================================================================
17:35:16 | INFO    | flynum.run.7_rep_real_s6 | ------------------------------------------------------------------------------
17:35:16 | INFO    | flynum.run.7_rep_real_s6 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
17:35:18 | INFO    | flynum.run.7_rep_real_s6 | circuit core loaded from cache: 33480 neurons / 1170024 edges
17:35:18 | INFO    | flynum.run.7_rep_real_s6 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
17:35:18 | INFO    | flynum.run.7_rep_real_s6 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
17:35:19 | INFO    | flynum.run.7_rep_real_s6 | readout: visual_projection (VPN) -> 9200 neurons
17:35:19 | INFO    | flynum.run.7_rep_real_s6 | count stimuli loaded from cache (20000 pool images)
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
17:35:25 | INFO    | flynum.run.7_rep_real_s6 | readout standardisation disabled
17:35:54 | INFO    | flynum.run.7_rep_real_s6 |   epoch   0 | loss 1.8274 | train 0.4142 | val 0.4768 | 29.2s
17:36:24 | INFO    | flynum.run.7_rep_real_s6 |   epoch   1 | loss 1.0862 | train 0.4861 | val 0.4956 | 29.0s
17:36:53 | INFO    | flynum.run.7_rep_real_s6 |   epoch   2 | loss 1.0610 | train 0.4982 | val 0.5024 | 29.2s
17:37:22 | INFO    | flynum.run.7_rep_real_s6 |   epoch   3 | loss 1.0489 | train 0.5044 | val 0.5008 | 29.4s
17:37:52 | INFO    | flynum.run.7_rep_real_s6 |   epoch   4 | loss 1.0365 | train 0.5120 | val 0.5080 | 29.4s
17:38:21 | INFO    | flynum.run.7_rep_real_s6 |   epoch   5 | loss 1.0346 | train 0.5099 | val 0.4956 | 29.6s
17:38:51 | INFO    | flynum.run.7_rep_real_s6 |   epoch   6 | loss 1.0210 | train 0.5222 | val 0.5036 | 29.5s
17:39:20 | INFO    | flynum.run.7_rep_real_s6 |   epoch   7 | loss 1.0141 | train 0.5198 | val 0.5272 | 29.4s
17:39:50 | INFO    | flynum.run.7_rep_real_s6 |   epoch   8 | loss 0.9979 | train 0.5303 | val 0.5296 | 29.4s
17:40:19 | INFO    | flynum.run.7_rep_real_s6 |   epoch   9 | loss 0.9814 | train 0.5360 | val 0.5564 | 29.4s
17:40:49 | INFO    | flynum.run.7_rep_real_s6 |   epoch  10 | loss 0.9603 | train 0.5522 | val 0.5584 | 29.4s
17:41:18 | INFO    | flynum.run.7_rep_real_s6 |   epoch  11 | loss 0.9306 | train 0.5693 | val 0.5792 | 29.4s
17:41:48 | INFO    | flynum.run.7_rep_real_s6 |   epoch  12 | loss 0.9083 | train 0.5845 | val 0.5892 | 29.5s
17:42:17 | INFO    | flynum.run.7_rep_real_s6 |   epoch  13 | loss 0.8729 | train 0.6078 | val 0.6192 | 29.3s
17:42:47 | INFO    | flynum.run.7_rep_real_s6 |   epoch  14 | loss 0.8468 | train 0.6239 | val 0.5980 | 29.2s
17:43:16 | INFO    | flynum.run.7_rep_real_s6 |   epoch  15 | loss 0.8142 | train 0.6420 | val 0.6320 | 29.6s
17:43:46 | INFO    | flynum.run.7_rep_real_s6 |   epoch  16 | loss 0.7953 | train 0.6509 | val 0.6552 | 29.3s
17:44:15 | INFO    | flynum.run.7_rep_real_s6 |   epoch  17 | loss 0.7730 | train 0.6649 | val 0.6388 | 29.3s
17:44:44 | INFO    | flynum.run.7_rep_real_s6 |   epoch  18 | loss 0.7448 | train 0.6853 | val 0.6988 | 29.4s
17:45:14 | INFO    | flynum.run.7_rep_real_s6 |   epoch  19 | loss 0.7319 | train 0.6909 | val 0.6932 | 29.3s
17:45:43 | INFO    | flynum.run.7_rep_real_s6 |   epoch  20 | loss 0.7074 | train 0.7030 | val 0.7112 | 29.3s
