22:10:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | run 7d_spec_1.4106_shuffled_s1 started -> I:\2026.9.14\9.15果蝇识字\runs\7d_spec_1.4106_shuffled_s1
22:10:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | ==============================================================================
22:10:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=1 shuffle_seed=1
22:10:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | ==============================================================================
22:10:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | ------------------------------------------------------------------------------
22:10:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
22:10:48 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | circuit core loaded from cache: 33480 neurons / 1170024 edges
22:10:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   shuffle verified: overlap with real graph 2.19%, degrees and weights preserved
22:10:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | shuffled graph loaded from cache (seed=1, overlap=2.19%)
22:10:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
22:10:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
22:10:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | readout: visual_projection (VPN) -> 9200 neurons
22:11:06 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | count stimuli loaded from cache (20000 pool images)
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
22:11:13 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | readout standardisation disabled
22:11:44 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   0 | loss 2.2684 | train 0.4348 | val 0.4988 | 31.0s
22:12:14 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   1 | loss 1.0627 | train 0.5034 | val 0.5124 | 30.4s
22:12:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   2 | loss 1.0429 | train 0.5050 | val 0.5168 | 30.7s
22:13:15 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   3 | loss 1.0337 | train 0.5089 | val 0.5264 | 30.1s
22:13:46 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   4 | loss 1.0241 | train 0.5184 | val 0.5228 | 30.3s
22:14:15 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   5 | loss 1.0154 | train 0.5210 | val 0.5288 | 29.2s
22:14:44 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   6 | loss 1.0104 | train 0.5240 | val 0.5072 | 29.3s
22:15:14 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   7 | loss 1.0046 | train 0.5284 | val 0.5240 | 30.0s
22:15:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   8 | loss 0.9990 | train 0.5308 | val 0.5260 | 30.3s
22:16:16 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch   9 | loss 0.9912 | train 0.5318 | val 0.5280 | 31.0s
22:16:46 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  10 | loss 0.9822 | train 0.5422 | val 0.5256 | 30.5s
22:17:17 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  11 | loss 0.9712 | train 0.5494 | val 0.5476 | 31.0s
22:17:48 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  12 | loss 0.9606 | train 0.5523 | val 0.5524 | 30.3s
22:18:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  13 | loss 0.9480 | train 0.5603 | val 0.5528 | 30.3s
22:18:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  14 | loss 0.9397 | train 0.5623 | val 0.5436 | 31.1s
22:19:19 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  15 | loss 0.9267 | train 0.5742 | val 0.5520 | 30.2s
22:19:50 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  16 | loss 0.9127 | train 0.5818 | val 0.5704 | 30.2s
22:20:21 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  17 | loss 0.8963 | train 0.5897 | val 0.5788 | 30.8s
22:20:51 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  18 | loss 0.8800 | train 0.6007 | val 0.5688 | 30.7s
22:21:22 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  19 | loss 0.8688 | train 0.6079 | val 0.6036 | 30.4s
22:21:53 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  20 | loss 0.8471 | train 0.6240 | val 0.5896 | 30.8s
22:22:23 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  21 | loss 0.8356 | train 0.6260 | val 0.5812 | 30.6s
22:22:54 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  22 | loss 0.8206 | train 0.6381 | val 0.6000 | 30.3s
22:23:24 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  23 | loss 0.8045 | train 0.6449 | val 0.5996 | 30.3s
22:23:54 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  24 | loss 0.7930 | train 0.6536 | val 0.6304 | 30.2s
22:24:25 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  25 | loss 0.7801 | train 0.6639 | val 0.6296 | 30.2s
22:24:55 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  26 | loss 0.7668 | train 0.6698 | val 0.6372 | 30.6s
22:25:26 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  27 | loss 0.7497 | train 0.6827 | val 0.6384 | 30.4s
22:25:56 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  28 | loss 0.7412 | train 0.6884 | val 0.6408 | 30.1s
22:26:26 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  29 | loss 0.7238 | train 0.6995 | val 0.6476 | 29.9s
22:26:56 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  30 | loss 0.7200 | train 0.6949 | val 0.6496 | 30.1s
22:27:26 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  31 | loss 0.7067 | train 0.7097 | val 0.6552 | 30.4s
22:27:57 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  32 | loss 0.6960 | train 0.7123 | val 0.6568 | 30.0s
22:28:27 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  33 | loss 0.6858 | train 0.7212 | val 0.6620 | 30.2s
22:28:57 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  34 | loss 0.6788 | train 0.7240 | val 0.6612 | 29.9s
22:29:27 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  35 | loss 0.6705 | train 0.7278 | val 0.6696 | 30.2s
22:29:58 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  36 | loss 0.6641 | train 0.7301 | val 0.6720 | 30.6s
22:30:28 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  37 | loss 0.6552 | train 0.7409 | val 0.6760 | 30.6s
22:30:58 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  38 | loss 0.6501 | train 0.7393 | val 0.6832 | 29.3s
22:31:27 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  39 | loss 0.6435 | train 0.7426 | val 0.6776 | 29.4s
22:31:57 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  40 | loss 0.6373 | train 0.7467 | val 0.6876 | 29.2s
22:32:26 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  41 | loss 0.6304 | train 0.7503 | val 0.6808 | 29.5s
22:32:55 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  42 | loss 0.6256 | train 0.7560 | val 0.6932 | 29.2s
22:33:25 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  43 | loss 0.6229 | train 0.7574 | val 0.6856 | 29.4s
22:33:54 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  44 | loss 0.6166 | train 0.7639 | val 0.6828 | 29.3s
22:34:24 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  45 | loss 0.6136 | train 0.7630 | val 0.6912 | 29.2s
22:34:53 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  46 | loss 0.6106 | train 0.7651 | val 0.6976 | 29.2s
22:35:22 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  47 | loss 0.6075 | train 0.7662 | val 0.7020 | 29.3s
22:35:52 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  48 | loss 0.6047 | train 0.7702 | val 0.6972 | 29.2s
22:36:21 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  49 | loss 0.6015 | train 0.7714 | val 0.6996 | 29.2s
22:36:50 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  50 | loss 0.5995 | train 0.7729 | val 0.6924 | 29.2s
22:37:20 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  51 | loss 0.5975 | train 0.7739 | val 0.6980 | 29.8s
22:37:49 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  52 | loss 0.5958 | train 0.7774 | val 0.6952 | 29.3s
22:38:19 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  53 | loss 0.5942 | train 0.7778 | val 0.6952 | 29.5s
22:38:48 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  54 | loss 0.5930 | train 0.7773 | val 0.7020 | 29.0s
22:39:17 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  55 | loss 0.5919 | train 0.7785 | val 0.6972 | 29.2s
22:39:46 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  56 | loss 0.5912 | train 0.7801 | val 0.6960 | 29.2s
22:40:16 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  57 | loss 0.5907 | train 0.7799 | val 0.6992 | 29.6s
22:40:45 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  58 | loss 0.5902 | train 0.7800 | val 0.6972 | 29.3s
22:41:14 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   epoch  59 | loss 0.5900 | train 0.7805 | val 0.6984 | 29.3s
22:41:15 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | ------------------------------------------------------------------------------
22:41:15 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   test A: acc 0.6998 (chance 0.20) | macro-F1 0.6926 | per-class 1.00 0.72 0.64 0.42 0.72
22:41:16 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   test B: acc 0.4620 (chance 0.20) | macro-F1 0.3777 | per-class 0.98 0.87 0.39 0.05 0.02
22:41:17 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   test C: acc 0.5224 (chance 0.20) | macro-F1 0.4563 | per-class 1.00 1.00 0.55 0.00 0.06
22:41:17 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 |   test D: acc 0.4212 (chance 0.20) | macro-F1 0.3445 | per-class 0.93 0.80 0.30 0.05 0.02
22:41:17 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s1 | run 7d_spec_1.4106_shuffled_s1 finished: ok (1832.7s)
