19:37:34 | INFO    | flynum.run.7_rep_real_s8 | run 7_rep_real_s8 started -> I:\2026.9.14\9.15果蝇识字\runs\7_rep_real_s8
19:37:34 | INFO    | flynum.run.7_rep_real_s8 | ==============================================================================
19:37:34 | INFO    | flynum.run.7_rep_real_s8 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=8 shuffle_seed=0
19:37:34 | INFO    | flynum.run.7_rep_real_s8 | ==============================================================================
19:37:34 | INFO    | flynum.run.7_rep_real_s8 | ------------------------------------------------------------------------------
19:37:34 | INFO    | flynum.run.7_rep_real_s8 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
19:37:37 | INFO    | flynum.run.7_rep_real_s8 | circuit core loaded from cache: 33480 neurons / 1170024 edges
19:37:37 | INFO    | flynum.run.7_rep_real_s8 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
19:37:37 | INFO    | flynum.run.7_rep_real_s8 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
19:37:37 | INFO    | flynum.run.7_rep_real_s8 | readout: visual_projection (VPN) -> 9200 neurons
19:37:37 | INFO    | flynum.run.7_rep_real_s8 | count stimuli loaded from cache (20000 pool images)
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
19:37:44 | INFO    | flynum.run.7_rep_real_s8 | readout standardisation disabled
19:38:14 | INFO    | flynum.run.7_rep_real_s8 |   epoch   0 | loss 1.7166 | train 0.4154 | val 0.4912 | 29.7s
19:38:43 | INFO    | flynum.run.7_rep_real_s8 |   epoch   1 | loss 1.0816 | train 0.4891 | val 0.4852 | 29.3s
19:39:12 | INFO    | flynum.run.7_rep_real_s8 |   epoch   2 | loss 1.0677 | train 0.4923 | val 0.4936 | 29.4s
19:39:41 | INFO    | flynum.run.7_rep_real_s8 |   epoch   3 | loss 1.0457 | train 0.5050 | val 0.4892 | 29.0s
19:40:11 | INFO    | flynum.run.7_rep_real_s8 |   epoch   4 | loss 1.0435 | train 0.5069 | val 0.5140 | 29.3s
19:40:40 | INFO    | flynum.run.7_rep_real_s8 |   epoch   5 | loss 1.0345 | train 0.5131 | val 0.4996 | 29.1s
19:41:09 | INFO    | flynum.run.7_rep_real_s8 |   epoch   6 | loss 1.0287 | train 0.5149 | val 0.5236 | 29.3s
19:41:39 | INFO    | flynum.run.7_rep_real_s8 |   epoch   7 | loss 1.0256 | train 0.5165 | val 0.5224 | 29.5s
19:42:08 | INFO    | flynum.run.7_rep_real_s8 |   epoch   8 | loss 1.0216 | train 0.5171 | val 0.5192 | 29.4s
19:42:37 | INFO    | flynum.run.7_rep_real_s8 |   epoch   9 | loss 1.0118 | train 0.5223 | val 0.5204 | 29.1s
19:43:07 | INFO    | flynum.run.7_rep_real_s8 |   epoch  10 | loss 1.0019 | train 0.5291 | val 0.5232 | 29.1s
19:43:36 | INFO    | flynum.run.7_rep_real_s8 |   epoch  11 | loss 0.9888 | train 0.5370 | val 0.5112 | 29.2s
19:44:05 | INFO    | flynum.run.7_rep_real_s8 |   epoch  12 | loss 0.9793 | train 0.5415 | val 0.5484 | 29.1s
19:44:35 | INFO    | flynum.run.7_rep_real_s8 |   epoch  13 | loss 0.9533 | train 0.5553 | val 0.5676 | 29.8s
19:45:04 | INFO    | flynum.run.7_rep_real_s8 |   epoch  14 | loss 0.9308 | train 0.5715 | val 0.5644 | 29.1s
19:45:33 | INFO    | flynum.run.7_rep_real_s8 |   epoch  15 | loss 0.9038 | train 0.5844 | val 0.5800 | 29.2s
19:46:03 | INFO    | flynum.run.7_rep_real_s8 |   epoch  16 | loss 0.8755 | train 0.6027 | val 0.6052 | 29.1s
19:46:32 | INFO    | flynum.run.7_rep_real_s8 |   epoch  17 | loss 0.8563 | train 0.6179 | val 0.6240 | 29.1s
19:47:01 | INFO    | flynum.run.7_rep_real_s8 |   epoch  18 | loss 0.8243 | train 0.6358 | val 0.6332 | 29.1s
19:47:30 | INFO    | flynum.run.7_rep_real_s8 |   epoch  19 | loss 0.8082 | train 0.6474 | val 0.6588 | 29.2s
19:48:00 | INFO    | flynum.run.7_rep_real_s8 |   epoch  20 | loss 0.7868 | train 0.6577 | val 0.6092 | 29.3s
19:48:29 | INFO    | flynum.run.7_rep_real_s8 |   epoch  21 | loss 0.7721 | train 0.6635 | val 0.6716 | 29.5s
19:48:59 | INFO    | flynum.run.7_rep_real_s8 |   epoch  22 | loss 0.7476 | train 0.6808 | val 0.6428 | 29.9s
19:49:29 | INFO    | flynum.run.7_rep_real_s8 |   epoch  23 | loss 0.7299 | train 0.6909 | val 0.6716 | 29.7s
19:49:59 | INFO    | flynum.run.7_rep_real_s8 |   epoch  24 | loss 0.7164 | train 0.7021 | val 0.6668 | 29.8s
