01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | run 7c_v2_shuffled_s0 started -> /root/autodl-tmp/fly/runs/7c_v2_shuffled_s0
01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | ==============================================================================
01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=0 shuffle_seed=0
01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | ==============================================================================
01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | ------------------------------------------------------------------------------
01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
01:41:46 | INFO    | flynum.run.7c_v2_shuffled_s0 | circuit core loaded from cache: 33480 neurons / 1170024 edges
01:41:47 | INFO    | flynum.run.7c_v2_shuffled_s0 |   shuffle verified: overlap with real graph 2.20%, degrees and weights preserved
01:41:47 | INFO    | flynum.run.7c_v2_shuffled_s0 | shuffled graph loaded from cache (seed=0, overlap=2.20%)
01:41:47 | INFO    | flynum.run.7c_v2_shuffled_s0 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
01:41:47 | INFO    | flynum.run.7c_v2_shuffled_s0 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
01:41:50 | INFO    | flynum.run.7c_v2_shuffled_s0 | signed synapses: 187016/211577 neurons carry a prediction, 151924 excitatory / 59653 inhibitory / 47751 defaulted to +1 (100.0% signed)
01:41:50 | INFO    | flynum.run.7c_v2_shuffled_s0 | readout: visual_projection (VPN) -> 9200 neurons
01:41:51 | INFO    | flynum.run.7c_v2_shuffled_s0 | count stimuli loaded from cache (20000 pool images)
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
01:41:52 | INFO    | flynum.run.7c_v2_shuffled_s0 | readout standardisation disabled
01:42:08 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   0 | loss 1.3859 | train 0.3965 | val 0.4560 | 15.8s
01:42:24 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   1 | loss 1.1019 | train 0.4821 | val 0.4940 | 15.9s
01:42:40 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   2 | loss 1.0721 | train 0.4959 | val 0.4680 | 15.9s
01:42:56 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   3 | loss 1.0534 | train 0.5020 | val 0.5136 | 15.9s
01:43:11 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   4 | loss 1.0447 | train 0.5083 | val 0.5176 | 15.9s
01:43:27 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   5 | loss 1.0376 | train 0.5133 | val 0.4984 | 15.9s
01:43:43 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   6 | loss 1.0269 | train 0.5144 | val 0.5092 | 15.9s
01:43:59 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   7 | loss 1.0251 | train 0.5173 | val 0.5224 | 15.9s
01:44:15 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   8 | loss 1.0265 | train 0.5154 | val 0.5152 | 15.9s
01:44:31 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch   9 | loss 1.0193 | train 0.5200 | val 0.5336 | 15.9s
01:44:47 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  10 | loss 1.0112 | train 0.5230 | val 0.5060 | 15.9s
01:45:03 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  11 | loss 1.0075 | train 0.5279 | val 0.5352 | 15.9s
01:45:19 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  12 | loss 1.0037 | train 0.5303 | val 0.5372 | 15.9s
01:45:35 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  13 | loss 0.9972 | train 0.5349 | val 0.5380 | 15.9s
01:45:51 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  14 | loss 0.9905 | train 0.5378 | val 0.5396 | 15.9s
01:46:06 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  15 | loss 0.9935 | train 0.5355 | val 0.5420 | 15.9s
01:46:22 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  16 | loss 0.9890 | train 0.5380 | val 0.5364 | 15.9s
01:46:38 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  17 | loss 0.9787 | train 0.5452 | val 0.5492 | 15.9s
01:46:54 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  18 | loss 0.9727 | train 0.5465 | val 0.5524 | 15.9s
01:47:10 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  19 | loss 0.9649 | train 0.5527 | val 0.5480 | 15.9s
01:47:49 | INFO    | flynum.run.7c_v2_shuffled_s0 |   epoch  20 | loss 0.9584 | train 0.5563 | val 0.5440 | 39.1s
