22:41:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | run 7d_spec_1.4106_shuffled_s2 started -> I:\2026.9.14\9.15果蝇识字\runs\7d_spec_1.4106_shuffled_s2
22:41:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | ==============================================================================
22:41:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=2 shuffle_seed=2
22:41:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | ==============================================================================
22:41:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | ------------------------------------------------------------------------------
22:41:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
22:41:21 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | circuit core loaded from cache: 33480 neurons / 1170024 edges
22:41:21 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   shuffle verified: overlap with real graph 2.21%, degrees and weights preserved
22:41:21 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | shuffled graph loaded from cache (seed=2, overlap=2.21%)
22:41:22 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
22:41:22 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
22:41:22 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | readout: visual_projection (VPN) -> 9200 neurons
22:41:23 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | count stimuli loaded from cache (20000 pool images)
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
22:41:30 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 | readout standardisation disabled
22:42:00 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   0 | loss 1.9107 | train 0.4361 | val 0.4888 | 30.1s
22:42:29 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   1 | loss 1.0585 | train 0.4990 | val 0.5136 | 29.5s
22:42:59 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   2 | loss 1.0444 | train 0.5067 | val 0.5032 | 29.6s
22:43:29 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   3 | loss 1.0306 | train 0.5135 | val 0.5004 | 29.5s
22:43:58 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   4 | loss 1.0254 | train 0.5152 | val 0.5160 | 29.6s
22:44:28 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   5 | loss 1.0242 | train 0.5189 | val 0.5252 | 29.6s
22:44:58 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   6 | loss 1.0115 | train 0.5240 | val 0.5240 | 29.6s
22:45:27 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   7 | loss 1.0073 | train 0.5285 | val 0.5332 | 29.4s
22:45:57 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   8 | loss 0.9973 | train 0.5325 | val 0.5380 | 29.5s
22:46:26 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch   9 | loss 0.9932 | train 0.5327 | val 0.5296 | 29.6s
22:46:56 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  10 | loss 0.9866 | train 0.5366 | val 0.5436 | 29.3s
22:47:25 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  11 | loss 0.9714 | train 0.5466 | val 0.5580 | 29.0s
22:47:54 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  12 | loss 0.9630 | train 0.5492 | val 0.5620 | 29.1s
22:48:24 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  13 | loss 0.9522 | train 0.5553 | val 0.5572 | 29.9s
22:49:07 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  14 | loss 0.9402 | train 0.5661 | val 0.5624 | 30.4s
22:49:37 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  15 | loss 0.9276 | train 0.5733 | val 0.5616 | 29.8s
22:50:07 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  16 | loss 0.9101 | train 0.5856 | val 0.5820 | 29.8s
22:50:48 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  17 | loss 0.8952 | train 0.5933 | val 0.5684 | 30.0s
22:51:18 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  18 | loss 0.8794 | train 0.6006 | val 0.5920 | 29.2s
22:51:47 | INFO    | flynum.run.7d_spec_1.4106_shuffled_s2 |   epoch  19 | loss 0.8738 | train 0.6041 | val 0.5908 | 28.9s
