20:39:00 | INFO    | flynum.run.7_rep_real_s9 | run 7_rep_real_s9 started -> I:\2026.9.14\9.15果蝇识字\runs\7_rep_real_s9
20:39:00 | INFO    | flynum.run.7_rep_real_s9 | ==============================================================================
20:39:00 | INFO    | flynum.run.7_rep_real_s9 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=9 shuffle_seed=0
20:39:00 | INFO    | flynum.run.7_rep_real_s9 | ==============================================================================
20:39:00 | INFO    | flynum.run.7_rep_real_s9 | ------------------------------------------------------------------------------
20:39:00 | INFO    | flynum.run.7_rep_real_s9 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
20:39:03 | INFO    | flynum.run.7_rep_real_s9 | circuit core loaded from cache: 33480 neurons / 1170024 edges
20:39:03 | INFO    | flynum.run.7_rep_real_s9 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
20:39:03 | INFO    | flynum.run.7_rep_real_s9 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
20:39:03 | INFO    | flynum.run.7_rep_real_s9 | readout: visual_projection (VPN) -> 9200 neurons
20:39:04 | INFO    | flynum.run.7_rep_real_s9 | count stimuli loaded from cache (20000 pool images)
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
20:39:10 | INFO    | flynum.run.7_rep_real_s9 | readout standardisation disabled
20:39:40 | INFO    | flynum.run.7_rep_real_s9 |   epoch   0 | loss 1.6878 | train 0.4088 | val 0.4812 | 30.0s
20:40:10 | INFO    | flynum.run.7_rep_real_s9 |   epoch   1 | loss 1.0944 | train 0.4831 | val 0.5036 | 29.7s
20:40:40 | INFO    | flynum.run.7_rep_real_s9 |   epoch   2 | loss 1.0632 | train 0.4965 | val 0.4896 | 29.7s
20:41:10 | INFO    | flynum.run.7_rep_real_s9 |   epoch   3 | loss 1.0539 | train 0.5039 | val 0.5096 | 29.8s
20:41:40 | INFO    | flynum.run.7_rep_real_s9 |   epoch   4 | loss 1.0380 | train 0.5105 | val 0.4736 | 29.7s
20:42:09 | INFO    | flynum.run.7_rep_real_s9 |   epoch   5 | loss 1.0401 | train 0.5051 | val 0.4744 | 29.6s
20:42:39 | INFO    | flynum.run.7_rep_real_s9 |   epoch   6 | loss 1.0331 | train 0.5153 | val 0.4984 | 29.7s
20:43:09 | INFO    | flynum.run.7_rep_real_s9 |   epoch   7 | loss 1.0272 | train 0.5162 | val 0.5280 | 29.7s
20:43:38 | INFO    | flynum.run.7_rep_real_s9 |   epoch   8 | loss 1.0191 | train 0.5181 | val 0.5376 | 29.6s
20:44:08 | INFO    | flynum.run.7_rep_real_s9 |   epoch   9 | loss 1.0098 | train 0.5233 | val 0.5368 | 29.7s
20:44:38 | INFO    | flynum.run.7_rep_real_s9 |   epoch  10 | loss 0.9969 | train 0.5334 | val 0.5108 | 29.7s
20:45:08 | INFO    | flynum.run.7_rep_real_s9 |   epoch  11 | loss 0.9818 | train 0.5389 | val 0.5396 | 29.8s
20:45:38 | INFO    | flynum.run.7_rep_real_s9 |   epoch  12 | loss 0.9610 | train 0.5533 | val 0.5708 | 29.6s
20:46:07 | INFO    | flynum.run.7_rep_real_s9 |   epoch  13 | loss 0.9390 | train 0.5633 | val 0.5756 | 29.5s
20:46:37 | INFO    | flynum.run.7_rep_real_s9 |   epoch  14 | loss 0.9131 | train 0.5805 | val 0.5696 | 29.5s
20:47:06 | INFO    | flynum.run.7_rep_real_s9 |   epoch  15 | loss 0.8901 | train 0.5955 | val 0.5740 | 29.5s
20:47:36 | INFO    | flynum.run.7_rep_real_s9 |   epoch  16 | loss 0.8616 | train 0.6150 | val 0.5920 | 29.4s
20:48:05 | INFO    | flynum.run.7_rep_real_s9 |   epoch  17 | loss 0.8309 | train 0.6309 | val 0.6496 | 29.6s
20:48:35 | INFO    | flynum.run.7_rep_real_s9 |   epoch  18 | loss 0.8089 | train 0.6455 | val 0.6296 | 29.6s
20:49:05 | INFO    | flynum.run.7_rep_real_s9 |   epoch  19 | loss 0.7880 | train 0.6572 | val 0.6272 | 29.5s
20:49:34 | INFO    | flynum.run.7_rep_real_s9 |   epoch  20 | loss 0.7671 | train 0.6714 | val 0.6748 | 29.3s
20:50:03 | INFO    | flynum.run.7_rep_real_s9 |   epoch  21 | loss 0.7435 | train 0.6810 | val 0.6704 | 29.3s
20:50:33 | INFO    | flynum.run.7_rep_real_s9 |   epoch  22 | loss 0.7296 | train 0.6933 | val 0.6684 | 29.6s
20:51:02 | INFO    | flynum.run.7_rep_real_s9 |   epoch  23 | loss 0.7122 | train 0.7025 | val 0.6856 | 29.4s
20:51:32 | INFO    | flynum.run.7_rep_real_s9 |   epoch  24 | loss 0.7037 | train 0.7096 | val 0.6844 | 29.5s
20:52:02 | INFO    | flynum.run.7_rep_real_s9 |   epoch  25 | loss 0.6903 | train 0.7137 | val 0.6932 | 29.5s
20:52:31 | INFO    | flynum.run.7_rep_real_s9 |   epoch  26 | loss 0.6772 | train 0.7234 | val 0.6980 | 29.7s
20:53:01 | INFO    | flynum.run.7_rep_real_s9 |   epoch  27 | loss 0.6640 | train 0.7264 | val 0.6924 | 29.6s
20:53:30 | INFO    | flynum.run.7_rep_real_s9 |   epoch  28 | loss 0.6551 | train 0.7332 | val 0.7288 | 29.5s
20:54:00 | INFO    | flynum.run.7_rep_real_s9 |   epoch  29 | loss 0.6503 | train 0.7335 | val 0.7224 | 29.4s
20:54:29 | INFO    | flynum.run.7_rep_real_s9 |   epoch  30 | loss 0.6393 | train 0.7395 | val 0.7092 | 29.2s
20:54:59 | INFO    | flynum.run.7_rep_real_s9 |   epoch  31 | loss 0.6324 | train 0.7437 | val 0.7484 | 29.3s
20:55:28 | INFO    | flynum.run.7_rep_real_s9 |   epoch  32 | loss 0.6216 | train 0.7518 | val 0.7392 | 29.4s
20:55:58 | INFO    | flynum.run.7_rep_real_s9 |   epoch  33 | loss 0.6156 | train 0.7523 | val 0.7340 | 29.7s
20:56:28 | INFO    | flynum.run.7_rep_real_s9 |   epoch  34 | loss 0.6115 | train 0.7572 | val 0.7400 | 29.9s
20:56:57 | INFO    | flynum.run.7_rep_real_s9 |   epoch  35 | loss 0.6079 | train 0.7556 | val 0.7492 | 29.6s
20:57:27 | INFO    | flynum.run.7_rep_real_s9 |   epoch  36 | loss 0.6020 | train 0.7629 | val 0.7364 | 29.5s
20:57:56 | INFO    | flynum.run.7_rep_real_s9 |   epoch  37 | loss 0.5982 | train 0.7620 | val 0.6896 | 29.2s
20:58:26 | INFO    | flynum.run.7_rep_real_s9 |   epoch  38 | loss 0.5896 | train 0.7656 | val 0.7516 | 29.1s
20:58:55 | INFO    | flynum.run.7_rep_real_s9 |   epoch  39 | loss 0.5852 | train 0.7724 | val 0.7376 | 29.3s
20:59:24 | INFO    | flynum.run.7_rep_real_s9 |   epoch  40 | loss 0.5812 | train 0.7718 | val 0.7664 | 29.3s
20:59:54 | INFO    | flynum.run.7_rep_real_s9 |   epoch  41 | loss 0.5780 | train 0.7737 | val 0.7576 | 29.3s
21:00:24 | INFO    | flynum.run.7_rep_real_s9 |   epoch  42 | loss 0.5752 | train 0.7768 | val 0.7616 | 29.8s
21:00:53 | INFO    | flynum.run.7_rep_real_s9 |   epoch  43 | loss 0.5721 | train 0.7783 | val 0.7560 | 29.1s
21:01:22 | INFO    | flynum.run.7_rep_real_s9 |   epoch  44 | loss 0.5672 | train 0.7820 | val 0.7584 | 29.0s
21:01:51 | INFO    | flynum.run.7_rep_real_s9 |   epoch  45 | loss 0.5636 | train 0.7825 | val 0.7496 | 29.1s
21:02:20 | INFO    | flynum.run.7_rep_real_s9 |   epoch  46 | loss 0.5614 | train 0.7854 | val 0.7572 | 28.8s
21:02:49 | INFO    | flynum.run.7_rep_real_s9 |   epoch  47 | loss 0.5576 | train 0.7877 | val 0.7580 | 29.4s
21:03:19 | INFO    | flynum.run.7_rep_real_s9 |   epoch  48 | loss 0.5574 | train 0.7873 | val 0.7708 | 29.4s
21:03:48 | INFO    | flynum.run.7_rep_real_s9 |   epoch  49 | loss 0.5552 | train 0.7889 | val 0.7612 | 29.4s
21:04:18 | INFO    | flynum.run.7_rep_real_s9 |   epoch  50 | loss 0.5532 | train 0.7899 | val 0.7600 | 29.6s
21:04:47 | INFO    | flynum.run.7_rep_real_s9 |   epoch  51 | loss 0.5510 | train 0.7916 | val 0.7648 | 29.5s
21:05:16 | INFO    | flynum.run.7_rep_real_s9 |   epoch  52 | loss 0.5505 | train 0.7909 | val 0.7644 | 29.1s
21:05:45 | INFO    | flynum.run.7_rep_real_s9 |   epoch  53 | loss 0.5489 | train 0.7921 | val 0.7668 | 28.9s
21:06:14 | INFO    | flynum.run.7_rep_real_s9 |   epoch  54 | loss 0.5479 | train 0.7926 | val 0.7600 | 28.9s
21:06:43 | INFO    | flynum.run.7_rep_real_s9 |   epoch  55 | loss 0.5471 | train 0.7922 | val 0.7660 | 29.0s
21:07:12 | INFO    | flynum.run.7_rep_real_s9 |   epoch  56 | loss 0.5464 | train 0.7947 | val 0.7652 | 29.1s
21:07:41 | INFO    | flynum.run.7_rep_real_s9 |   epoch  57 | loss 0.5459 | train 0.7938 | val 0.7636 | 29.0s
21:08:10 | INFO    | flynum.run.7_rep_real_s9 |   epoch  58 | loss 0.5455 | train 0.7935 | val 0.7644 | 29.0s
21:08:40 | INFO    | flynum.run.7_rep_real_s9 |   epoch  59 | loss 0.5453 | train 0.7933 | val 0.7628 | 29.1s
21:08:40 | INFO    | flynum.run.7_rep_real_s9 | ------------------------------------------------------------------------------
21:08:40 | INFO    | flynum.run.7_rep_real_s9 |   test A: acc 0.7748 (chance 0.20) | macro-F1 0.7712 | per-class 1.00 0.86 0.68 0.59 0.74
21:08:41 | INFO    | flynum.run.7_rep_real_s9 |   test B: acc 0.6106 (chance 0.20) | macro-F1 0.5698 | per-class 1.00 0.90 0.65 0.36 0.14
21:08:41 | INFO    | flynum.run.7_rep_real_s9 |   test C: acc 0.9056 (chance 0.20) | macro-F1 0.9019 | per-class 1.00 1.00 0.99 0.95 0.58
21:08:42 | INFO    | flynum.run.7_rep_real_s9 |   test D: acc 0.6002 (chance 0.20) | macro-F1 0.5679 | per-class 1.00 0.82 0.60 0.39 0.19
21:08:42 | INFO    | flynum.run.7_rep_real_s9 | run 7_rep_real_s9 finished: ok (1782.4s)
