16:34:13 | INFO    | flynum.run.7_rep_real_s5 | run 7_rep_real_s5 started -> I:\2026.9.14\9.15果蝇识字\runs\7_rep_real_s5
16:34:13 | INFO    | flynum.run.7_rep_real_s5 | ==============================================================================
16:34:13 | INFO    | flynum.run.7_rep_real_s5 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=5 shuffle_seed=0
16:34:13 | INFO    | flynum.run.7_rep_real_s5 | ==============================================================================
16:34:13 | INFO    | flynum.run.7_rep_real_s5 | ------------------------------------------------------------------------------
16:34:13 | INFO    | flynum.run.7_rep_real_s5 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
16:34:16 | INFO    | flynum.run.7_rep_real_s5 | circuit core loaded from cache: 33480 neurons / 1170024 edges
16:34:16 | INFO    | flynum.run.7_rep_real_s5 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
16:34:16 | INFO    | flynum.run.7_rep_real_s5 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
16:34:16 | INFO    | flynum.run.7_rep_real_s5 | readout: visual_projection (VPN) -> 9200 neurons
16:34:17 | INFO    | flynum.run.7_rep_real_s5 | count stimuli loaded from cache (20000 pool images)
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
16:34:23 | INFO    | flynum.run.7_rep_real_s5 | readout standardisation disabled
16:34:53 | INFO    | flynum.run.7_rep_real_s5 |   epoch   0 | loss 1.6677 | train 0.4129 | val 0.4800 | 29.9s
16:35:22 | INFO    | flynum.run.7_rep_real_s5 |   epoch   1 | loss 1.0799 | train 0.4870 | val 0.5020 | 29.6s
16:35:52 | INFO    | flynum.run.7_rep_real_s5 |   epoch   2 | loss 1.0643 | train 0.4945 | val 0.4928 | 29.9s
16:36:22 | INFO    | flynum.run.7_rep_real_s5 |   epoch   3 | loss 1.0454 | train 0.5046 | val 0.5060 | 29.6s
16:36:52 | INFO    | flynum.run.7_rep_real_s5 |   epoch   4 | loss 1.0390 | train 0.5087 | val 0.5196 | 30.0s
16:37:22 | INFO    | flynum.run.7_rep_real_s5 |   epoch   5 | loss 1.0363 | train 0.5093 | val 0.5104 | 29.9s
16:37:51 | INFO    | flynum.run.7_rep_real_s5 |   epoch   6 | loss 1.0344 | train 0.5099 | val 0.5168 | 29.0s
16:38:20 | INFO    | flynum.run.7_rep_real_s5 |   epoch   7 | loss 1.0290 | train 0.5157 | val 0.5244 | 29.2s
16:38:50 | INFO    | flynum.run.7_rep_real_s5 |   epoch   8 | loss 1.0230 | train 0.5179 | val 0.5320 | 29.2s
16:39:19 | INFO    | flynum.run.7_rep_real_s5 |   epoch   9 | loss 1.0118 | train 0.5265 | val 0.4684 | 29.4s
16:39:49 | INFO    | flynum.run.7_rep_real_s5 |   epoch  10 | loss 1.0018 | train 0.5303 | val 0.5252 | 29.4s
16:40:18 | INFO    | flynum.run.7_rep_real_s5 |   epoch  11 | loss 0.9867 | train 0.5401 | val 0.5288 | 29.5s
16:40:48 | INFO    | flynum.run.7_rep_real_s5 |   epoch  12 | loss 0.9692 | train 0.5467 | val 0.5480 | 29.3s
16:41:17 | INFO    | flynum.run.7_rep_real_s5 |   epoch  13 | loss 0.9478 | train 0.5594 | val 0.5540 | 29.4s
16:41:47 | INFO    | flynum.run.7_rep_real_s5 |   epoch  14 | loss 0.9220 | train 0.5769 | val 0.5620 | 29.5s
16:42:16 | INFO    | flynum.run.7_rep_real_s5 |   epoch  15 | loss 0.8946 | train 0.5925 | val 0.5816 | 29.4s
16:42:46 | INFO    | flynum.run.7_rep_real_s5 |   epoch  16 | loss 0.8686 | train 0.6075 | val 0.5948 | 29.7s
16:43:15 | INFO    | flynum.run.7_rep_real_s5 |   epoch  17 | loss 0.8448 | train 0.6234 | val 0.6120 | 29.2s
