03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | run 7c_v2_shuffled_s2 started -> /root/autodl-tmp/fly/runs/7c_v2_shuffled_s2
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | ==============================================================================
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=2 shuffle_seed=2
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | ==============================================================================
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | ------------------------------------------------------------------------------
03:37:56 | INFO    | flynum.run.7c_v2_shuffled_s2 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
03:37:57 | INFO    | flynum.run.7c_v2_shuffled_s2 | circuit core loaded from cache: 33480 neurons / 1170024 edges
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 |   shuffle verified: overlap with real graph 2.21%, degrees and weights preserved
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 | shuffled graph loaded from cache (seed=2, overlap=2.21%)
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
03:37:58 | INFO    | flynum.run.7c_v2_shuffled_s2 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
03:38:00 | INFO    | flynum.run.7c_v2_shuffled_s2 | signed synapses: 187016/211577 neurons carry a prediction, 151924 excitatory / 59653 inhibitory / 47751 defaulted to +1 (100.0% signed)
03:38:00 | INFO    | flynum.run.7c_v2_shuffled_s2 | readout: visual_projection (VPN) -> 9200 neurons
03:38:00 | INFO    | flynum.run.7c_v2_shuffled_s2 | count stimuli loaded from cache (20000 pool images)
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
03:38:02 | INFO    | flynum.run.7c_v2_shuffled_s2 | readout standardisation disabled
03:38:25 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   0 | loss 1.3705 | train 0.3907 | val 0.4696 | 23.5s
03:38:49 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   1 | loss 1.1057 | train 0.4775 | val 0.4944 | 23.5s
03:39:12 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   2 | loss 1.0684 | train 0.4944 | val 0.4920 | 23.6s
03:39:36 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   3 | loss 1.0558 | train 0.5033 | val 0.4948 | 23.6s
03:39:59 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   4 | loss 1.0399 | train 0.5109 | val 0.5152 | 23.2s
03:40:22 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   5 | loss 1.0448 | train 0.5084 | val 0.5028 | 23.0s
03:40:45 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   6 | loss 1.0308 | train 0.5141 | val 0.5204 | 23.0s
03:41:08 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   7 | loss 1.0244 | train 0.5187 | val 0.5216 | 22.6s
03:41:30 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   8 | loss 1.0164 | train 0.5221 | val 0.5268 | 22.7s
03:41:53 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch   9 | loss 1.0192 | train 0.5195 | val 0.5244 | 23.0s
03:42:16 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  10 | loss 1.0154 | train 0.5235 | val 0.5360 | 23.0s
03:42:40 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  11 | loss 1.0047 | train 0.5273 | val 0.5332 | 23.3s
03:43:03 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  12 | loss 1.0053 | train 0.5259 | val 0.5368 | 23.6s
03:43:27 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  13 | loss 0.9986 | train 0.5319 | val 0.5080 | 23.5s
03:43:51 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  14 | loss 0.9928 | train 0.5355 | val 0.5396 | 23.7s
03:44:14 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  15 | loss 0.9901 | train 0.5352 | val 0.5484 | 23.6s
03:44:38 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  16 | loss 0.9820 | train 0.5464 | val 0.5388 | 23.6s
03:45:01 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  17 | loss 0.9731 | train 0.5454 | val 0.5476 | 23.3s
03:45:24 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  18 | loss 0.9668 | train 0.5480 | val 0.5556 | 23.0s
03:45:47 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  19 | loss 0.9709 | train 0.5483 | val 0.5228 | 23.0s
03:46:10 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  20 | loss 0.9583 | train 0.5549 | val 0.5680 | 22.7s
03:46:33 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  21 | loss 0.9488 | train 0.5623 | val 0.5504 | 22.6s
03:46:56 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  22 | loss 0.9396 | train 0.5671 | val 0.5524 | 22.9s
03:47:19 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  23 | loss 0.9315 | train 0.5682 | val 0.5224 | 23.0s
03:47:42 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  24 | loss 0.9249 | train 0.5739 | val 0.5688 | 23.0s
03:48:05 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  25 | loss 0.9163 | train 0.5829 | val 0.5764 | 23.5s
03:48:29 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  26 | loss 0.9115 | train 0.5835 | val 0.5420 | 23.6s
03:48:52 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  27 | loss 0.9013 | train 0.5866 | val 0.5708 | 23.6s
03:49:16 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  28 | loss 0.8908 | train 0.5946 | val 0.5772 | 23.6s
03:49:40 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  29 | loss 0.8863 | train 0.5990 | val 0.5636 | 23.5s
03:50:03 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  30 | loss 0.8797 | train 0.6029 | val 0.5760 | 23.4s
03:50:26 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  31 | loss 0.8692 | train 0.6109 | val 0.5904 | 23.0s
03:50:49 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  32 | loss 0.8638 | train 0.6113 | val 0.6012 | 23.0s
03:51:12 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  33 | loss 0.8583 | train 0.6149 | val 0.5848 | 22.9s
03:51:35 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  34 | loss 0.8503 | train 0.6213 | val 0.5956 | 22.6s
03:51:58 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  35 | loss 0.8443 | train 0.6228 | val 0.5556 | 23.0s
03:52:21 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  36 | loss 0.8379 | train 0.6288 | val 0.5824 | 23.0s
03:52:44 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  37 | loss 0.8314 | train 0.6340 | val 0.5984 | 23.0s
03:53:07 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  38 | loss 0.8277 | train 0.6362 | val 0.5992 | 23.4s
03:53:31 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  39 | loss 0.8205 | train 0.6411 | val 0.6096 | 23.6s
03:53:54 | INFO    | flynum.run.7c_v2_shuffled_s2 |   epoch  40 | loss 0.8154 | train 0.6447 | val 0.6164 | 23.6s
